"Status","Start Time","Stop Time","Duration in ms","Parent Suite","Suite","Sub Suite","Test Class","Test Method","Name","Description"
"passed","Fri Aug 13 18:25:37 GMT 2021","Fri Aug 13 18:25:42 GMT 2021","4575","test_conduit","test_conduit","","","","test_registration",""
"passed","Fri Aug 13 18:25:50 GMT 2021","Fri Aug 13 18:25:54 GMT 2021","3413","test_conduit","test_conduit","","","","test_pagination",""
"broken","Fri Aug 13 18:26:11 GMT 2021","Fri Aug 13 18:26:23 GMT 2021","11935","test_conduit","test_conduit","","","","test_data_change",""
"broken","Fri Aug 13 18:26:35 GMT 2021","Fri Aug 13 18:26:37 GMT 2021","1701","test_conduit","test_conduit","","","","test_data_save",""
"broken","Fri Aug 13 18:25:58 GMT 2021","Fri Aug 13 18:26:11 GMT 2021","12830","test_conduit","test_conduit","","","","test_data_from_file",""
"passed","Fri Aug 13 18:25:54 GMT 2021","Fri Aug 13 18:25:58 GMT 2021","4371","test_conduit","test_conduit","","","","test_new_data",""
"passed","Fri Aug 13 18:25:48 GMT 2021","Fri Aug 13 18:25:50 GMT 2021","1810","test_conduit","test_conduit","","","","test_data_list",""
"passed","Fri Aug 13 18:25:42 GMT 2021","Fri Aug 13 18:25:46 GMT 2021","3469","test_conduit","test_conduit","","","","test_logout",""
"passed","Fri Aug 13 18:25:29 GMT 2021","Fri Aug 13 18:25:37 GMT 2021","8617","test_conduit","test_conduit","","","","test_cookie",""
"broken","Fri Aug 13 18:26:23 GMT 2021","Fri Aug 13 18:26:35 GMT 2021","11909","test_conduit","test_conduit","","","","test_del_data",""
"passed","Fri Aug 13 18:25:46 GMT 2021","Fri Aug 13 18:25:48 GMT 2021","2868","test_conduit","test_conduit","","","","test_login",""
